"","scri_sample_id","sample_type","sample_filter","fc","fc_methodf","fc_methodm","fc_methodc"
"144","acap_819","grabsample","membrane",3570,"sm9222d","sm9222","membranefiltration"
"145","acap_844","grabsample","membrane",51660,"sm9222d","sm9222","membranefiltration"
"146","acap_836","grabsample","membrane",28350,"sm9222d","sm9222","membranefiltration"
"147","acap_823","grabsample","membrane",8925,"sm9222d","sm9222","membranefiltration"
"148","acap_826","grabsample","membrane",12600,"sm9222d","sm9222","membranefiltration"
"149","acap_515","grabsample","membrane",20,"sm9222d","sm9222","membranefiltration"
"150","acap_540","grabsample","membrane",70,"sm9222d","sm9222","membranefiltration"
"151","acap_539","grabsample","membrane",70,"sm9222d","sm9222","membranefiltration"
"152","acap_565","grabsample","membrane",180,"sm9222d","sm9222","membranefiltration"
"153","acap_522","grabsample","membrane",50,"sm9222d","sm9222","membranefiltration"
"154","acap_917","grabsample","membrane",50,"sm9222d","sm9222","membranefiltration"
"155","acap_903","grabsample","membrane",20,"sm9222d","sm9222","membranefiltration"
"156","acap_896","grabsample","membrane",0,"sm9222d","sm9222","membranefiltration"
"157","acap_916","grabsample","membrane",50,"sm9222d","sm9222","membranefiltration"
"158","acap_907","grabsample","membrane",25,"sm9222d","sm9222","membranefiltration"
"159","acap_897","grabsample","membrane",10,"sm9222d","sm9222","membranefiltration"
"160","acap_926","grabsample","membrane",80,"sm9222d","sm9222","membranefiltration"
"161","acap_904","grabsample","membrane",20,"sm9222d","sm9222","membranefiltration"
"162","acap_915","grabsample","membrane",50,"sm9222d","sm9222","membranefiltration"
"163","acap_610","grabsample","membrane",10,"sm9222d","sm9222","membranefiltration"
"164","acap_621","grabsample","membrane",48,"sm9222d","sm9222","membranefiltration"
"165","acap_613","grabsample","membrane",24.5,"sm9222d","sm9222","membranefiltration"
"166","acap_625","grabsample","membrane",66,"sm9222d","sm9222","membranefiltration"
"167","acap_620","grabsample","membrane",44.6,"sm9222d","sm9222","membranefiltration"
"168","acap_634","grabsample","membrane",491,"sm9222d","sm9222","membranefiltration"
"169","acap_616","grabsample","membrane",34,"sm9222d","sm9222","membranefiltration"
"170","acap_619","grabsample","membrane",42,"sm9222d","sm9222","membranefiltration"
"171","acap_572","grabsample","membrane",11.5,"sm9222d","sm9222","membranefiltration"
"172","acap_583","grabsample","membrane",101,"sm9222d","sm9222","membranefiltration"
"173","acap_581","grabsample","membrane",65,"sm9222d","sm9222","membranefiltration"
"174","acap_588","grabsample","membrane",175,"sm9222d","sm9222","membranefiltration"
"175","acap_582","grabsample","membrane",76,"sm9222d","sm9222","membranefiltration"
"176","acap_573","grabsample","membrane",15.5,"sm9222d","sm9222","membranefiltration"
"177","acap_571","grabsample","membrane",2.5,"sm9222d","sm9222","membranefiltration"
"178","acap_576","grabsample","membrane",26,"sm9222d","sm9222","membranefiltration"
"179","acap_1253","grabsample","membrane",1800,"sm9222d","sm9222","membranefiltration"
"180","acap_1247","grabsample","membrane",600,"sm9222d","sm9222","membranefiltration"
