"","scri_sample_id","sample_type","sample_filter","ec","ec_methodf","ec_methodm","ec_methodc","entero","entero_methodf","entero_methodm","entero_methodc","fc","fc_methodf","fc_methodm","fc_methodc","tc","tc_methodf","tc_methodm","tc_methodc"
"54","oei_561","grabsample","membrane",25,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,10,"sm9222d","sm9222","membranefiltration",150,"sm9222b","sm9222","membranefiltration"
"55","oei_564","grabsample","membrane",25,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,5,"sm9222d","sm9222","membranefiltration",25,"sm9222b","sm9222","membranefiltration"
"56","oei_569","grabsample","membrane",25,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,5,"sm9222d","sm9222","membranefiltration",2600,"sm9222b","sm9222","membranefiltration"
"57","oei_567","grabsample","membrane",25,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,10,"sm9222d","sm9222","membranefiltration",260,"sm9222b","sm9222","membranefiltration"
"58","oei_181","grabsample","membrane",730,"sm9222g","membranefiltration","membranefiltration",13,"sm9230c","membranefiltration","membranefiltration",640,"sm9222d","sm9222","membranefiltration",4839,"sm9222b","sm9222","membranefiltration"
"59","oei_184","grabsample","membrane",5,"sm9222g","membranefiltration","membranefiltration",21,"sm9230c","membranefiltration","membranefiltration",330,"sm9222d","sm9222","membranefiltration",730,"sm9222b","sm9222","membranefiltration"
"60","oei_2408","grabsample","membrane",2318,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,3600,"sm9222d","sm9222","membranefiltration",14550,"sm9222b","sm9222","membranefiltration"
"61","oei_2533","grabsample","membrane",9678,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,45000,"sm9222d","sm9222","membranefiltration",14550,"sm9222b","sm9222","membranefiltration"
"62","oei_256","grabsample","membrane",300,"sm9222g","membranefiltration","membranefiltration",18,"sm9230c","membranefiltration","membranefiltration",154,"sm9222d","sm9222","membranefiltration",1550,"sm9222b","sm9222","membranefiltration"
"63","oei_247","grabsample","membrane",271,"sm9222g","membranefiltration","membranefiltration",16,"sm9230c","membranefiltration","membranefiltration",265,"sm9222d","sm9222","membranefiltration",3970,"sm9222b","sm9222","membranefiltration"
"64","oei_258","grabsample","membrane",100,"sm9222g","membranefiltration","membranefiltration",6,"sm9230c","membranefiltration","membranefiltration",136,"sm9222d","sm9222","membranefiltration",935,"sm9222b","sm9222","membranefiltration"
"65","oei_276","grabsample","membrane",50,"sm9222g","membranefiltration","membranefiltration",48,"sm9230c","membranefiltration","membranefiltration",191,"sm9222d","sm9222","membranefiltration",4960,"sm9222b","sm9222","membranefiltration"
"66","oei_263","grabsample","membrane",50,"sm9222g","membranefiltration","membranefiltration",17,"sm9230c","membranefiltration","membranefiltration",178,"sm9222d","sm9222","membranefiltration",1150,"sm9222b","sm9222","membranefiltration"
