"","scri_sample_id","sample_type","sample_filter","ec","ec_methodf","ec_methodm","ec_methodc","entero","entero_methodf","entero_methodm","entero_methodc","fc","fc_methodf","fc_methodm","fc_methodc"
"77","cbf_510","grabsample","none",21,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,36,"idexxquantitray","mpn","mpn"
"78","cbf_499","grabsample","none",21,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"79","cbf_509","grabsample","none",34,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,200,"idexxquantitray","mpn","mpn"
"80","cbf_554","grabsample","none",1410,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"81","cbf_505","grabsample","none",5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"82","cbf_557","grabsample","none",66,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,200,"idexxquantitray","mpn","mpn"
"83","cbf_562","grabsample","none",118,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,122,"idexxquantitray","mpn","mpn"
"84","cbf_498","grabsample","none",30,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"85","cbf_495","grabsample","none",87,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,270,"idexxquantitray","mpn","mpn"
"86","cbf_490","grabsample","none",16,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"87","cbf_488","grabsample","none",38,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"88","cbf_492","grabsample","none",78,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,520,"idexxquantitray","mpn","mpn"
"89","cbf_491","grabsample","none",9,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"90","cbf_496","grabsample","none",12,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,64,"idexxquantitray","mpn","mpn"
"91","cbf_494","grabsample","none",91,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,718,"idexxquantitray","mpn","mpn"
"92","cbf_486","grabsample","none",66,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"93","cbf_483","grabsample","none",55,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,27,"idexxquantitray","mpn","mpn"
"94","cbf_485","grabsample","none",44,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"95","cbf_489","grabsample","none",37,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"96","cbf_487","grabsample","none",41,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"97","cbf_484","grabsample","none",34,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"98","cbf_493","grabsample","none",2419,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"99","cbf_28","grabsample","none",110,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"100","cbf_26","grabsample","none",150,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"101","cbf_31","grabsample","none",160,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"102","cbf_34","grabsample","none",160,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"103","cbf_27","grabsample","none",220,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"104","cbf_32","grabsample","none",250,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"105","cbf_33","grabsample","none",250,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"106","cbf_29","grabsample","none",260,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"107","cbf_23","grabsample","none",1400,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"108","cbf_21","grabsample","none",2400,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"109","cbf_22","grabsample","none",2400,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"110","cbf_30","grabsample","none",2900,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"111","cbf_25","grabsample","none",4100,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"112","cbf_24","grabsample","none",13000,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"113","cbf_104","grabsample","none",196,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,73,"idexxquantitray","mpn","mpn"
"114","cbf_98","grabsample","none",236,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"115","cbf_97","grabsample","none",105,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"116","cbf_100","grabsample","none",133,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"117","cbf_99","grabsample","none",126,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"118","cbf_110","grabsample","none",145,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,510,"idexxquantitray","mpn","mpn"
"119","cbf_101","grabsample","none",166,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"120","cbf_107","grabsample","none",2420,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"121","cbf_103","grabsample","none",276,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"122","cbf_109","grabsample","none",248,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,860,"idexxquantitray","mpn","mpn"
"123","cbf_108","grabsample","none",125,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,280,"idexxquantitray","mpn","mpn"
"124","cbf_102","grabsample","none",192,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"125","cbf_106","grabsample","none",79,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,105,"idexxquantitray","mpn","mpn"
"126","cbf_105","grabsample","none",48,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"127","cbf_122","grabsample","none",19,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,30,"idexxquantitray","mpn","mpn"
"128","cbf_112","grabsample","none",33,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"129","cbf_113","grabsample","none",34,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"130","cbf_118","grabsample","none",9,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,14,"idexxquantitray","mpn","mpn"
"131","cbf_115","grabsample","none",148,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"132","cbf_116","grabsample","none",93,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"133","cbf_117","grabsample","none",13,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"134","cbf_121","grabsample","none",31,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"135","cbf_120","grabsample","none",47,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,91,"idexxquantitray","mpn","mpn"
"136","cbf_119","grabsample","none",9,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"137","cbf_111","grabsample","none",48,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"138","cbf_114","grabsample","none",19,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"139","cbf_124","grabsample","none",5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,23,"idexxquantitray","mpn","mpn"
"140","cbf_123","grabsample","none",9,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,118,"idexxquantitray","mpn","mpn"
"141","cbf_247","grabsample","none",240,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"142","cbf_246","grabsample","none",820,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"143","cbf_258","grabsample","none",1600,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"144","cbf_253","grabsample","none",2400,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"145","cbf_248","grabsample","none",2419,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"146","cbf_255","grabsample","none",3400,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"147","cbf_260","grabsample","none",4900,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"148","cbf_249","grabsample","none",5500,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"149","cbf_254","grabsample","none",6500,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
