"","scri_sample_id","sample_type","sample_filter","fc","fc_methodf","fc_methodm","fc_methodc"
"254","wq_4943","grabsample","membrane",1500,"sm9222d","sm9222","membranefiltration"
"255","wq_4940","grabsample","membrane",580,"sm9222d","sm9222","membranefiltration"
"256","wq_4937","grabsample","membrane",3,"sm9222d","sm9222","membranefiltration"
"257","wq_4945","grabsample","membrane",130,"sm9222d","sm9222","membranefiltration"
"258","wq_4939","grabsample","membrane",29,"sm9222d","sm9222","membranefiltration"
"259","wq_4944","grabsample","membrane",530,"sm9222d","sm9222","membranefiltration"
"260","wq_4935","grabsample","membrane",83,"sm9222d","sm9222","membranefiltration"
"261","wq_4942","grabsample","membrane",840,"sm9222d","sm9222","membranefiltration"
"262","wq_4936","grabsample","membrane",790,"sm9222d","sm9222","membranefiltration"
"263","wq_4946","grabsample","membrane",140,"sm9222d","sm9222","membranefiltration"
"264","wq_4960","grabsample","membrane",3,"sm9222d","sm9222","membranefiltration"
"265","wq_4961","grabsample","membrane",780,"sm9222d","sm9222","membranefiltration"
"266","wq_4963","grabsample","membrane",87,"sm9222d","sm9222","membranefiltration"
"267","wq_4962","grabsample","membrane",430,"sm9222d","sm9222","membranefiltration"
"268","wq_4957","grabsample","membrane",1100,"sm9222d","sm9222","membranefiltration"
"269","wq_4956","grabsample","membrane",88,"sm9222d","sm9222","membranefiltration"
"270","wq_4959","grabsample","membrane",31,"sm9222d","sm9222","membranefiltration"
"271","wq_4958","grabsample","membrane",51,"sm9222d","sm9222","membranefiltration"
"272","wq_4966","grabsample","membrane",9,"sm9222d","sm9222","membranefiltration"
"273","wq_4968","grabsample","membrane",4,"sm9222d","sm9222","membranefiltration"
"274","wq_4969","grabsample","membrane",88,"sm9222d","sm9222","membranefiltration"
"275","wq_4965","grabsample","membrane",66,"sm9222d","sm9222","membranefiltration"
"276","wq_4967","grabsample","membrane",92,"sm9222d","sm9222","membranefiltration"
"277","wq_28360","grabsample","membrane",47,"sm9222d","sm9222","membranefiltration"
"278","wq_28359","grabsample","membrane",84,"sm9222d","sm9222","membranefiltration"
"279","wq_28363","grabsample","membrane",3,"sm9222d","sm9222","membranefiltration"
"280","wq_28362","grabsample","membrane",14,"sm9222d","sm9222","membranefiltration"
"281","wq_28361","grabsample","membrane",6,"sm9222d","sm9222","membranefiltration"
"282","wq_30254","grabsample","membrane",15,"sm9222d","sm9222","membranefiltration"
"283","wq_30261","grabsample","membrane",190,"sm9222d","sm9222","membranefiltration"
"284","wq_30252","grabsample","membrane",11,"sm9222d","sm9222","membranefiltration"
"285","wq_30251","grabsample","membrane",140,"sm9222d","sm9222","membranefiltration"
"286","wq_30255","grabsample","membrane",18,"sm9222d","sm9222","membranefiltration"
"287","wq_30262","grabsample","membrane",23,"sm9222d","sm9222","membranefiltration"
"288","wq_30253","grabsample","membrane",39,"sm9222d","sm9222","membranefiltration"
"289","wq_30263","grabsample","membrane",48,"sm9222d","sm9222","membranefiltration"
"290","wq_30260","grabsample","membrane",340,"sm9222d","sm9222","membranefiltration"
"291","wq_30250","grabsample","membrane",320,"sm9222d","sm9222","membranefiltration"
"292","wq_30264","grabsample","membrane",24,"sm9222d","sm9222","membranefiltration"
"293","wq_30242","grabsample","membrane",1200,"sm9222d","sm9222","membranefiltration"
"294","wq_30277","grabsample","membrane",170,"sm9222d","sm9222","membranefiltration"
"295","wq_30239","grabsample","membrane",180,"sm9222d","sm9222","membranefiltration"
"296","wq_30280","grabsample","membrane",21,"sm9222d","sm9222","membranefiltration"
"297","wq_30244","grabsample","membrane",51,"sm9222d","sm9222","membranefiltration"
"298","wq_30235","grabsample","membrane",200,"sm9222d","sm9222","membranefiltration"
"299","wq_30236","grabsample","membrane",520,"sm9222d","sm9222","membranefiltration"
"300","wq_30237","grabsample","membrane",910,"sm9222d","sm9222","membranefiltration"
"301","wq_30246","grabsample","membrane",16,"sm9222d","sm9222","membranefiltration"
"302","wq_30283","grabsample","membrane",33,"sm9222d","sm9222","membranefiltration"
"303","wq_30279","grabsample","membrane",49,"sm9222d","sm9222","membranefiltration"
"304","wq_30278","grabsample","membrane",1000,"sm9222d","sm9222","membranefiltration"
"305","wq_30238","grabsample","membrane",22,"sm9222d","sm9222","membranefiltration"
"306","wq_30241","grabsample","membrane",450,"sm9222d","sm9222","membranefiltration"
"307","wq_30243","grabsample","membrane",9,"sm9222d","sm9222","membranefiltration"
"308","wq_30281","grabsample","membrane",65,"sm9222d","sm9222","membranefiltration"
"309","wq_30282","grabsample","membrane",270,"sm9222d","sm9222","membranefiltration"
"310","wq_30245","grabsample","membrane",15,"sm9222d","sm9222","membranefiltration"
"311","wq_28353","grabsample","membrane",1,"sm9222d","sm9222","membranefiltration"
"312","wq_28352","grabsample","membrane",3,"sm9222d","sm9222","membranefiltration"
"313","wq_28351","grabsample","membrane",11,"sm9222d","sm9222","membranefiltration"
"314","wq_28350","grabsample","membrane",15,"sm9222d","sm9222","membranefiltration"
"315","wq_28354","grabsample","membrane",1,"sm9222d","sm9222","membranefiltration"
"316","wq_28345","grabsample","membrane",8,"sm9222d","sm9222","membranefiltration"
"317","wq_28344","grabsample","membrane",4,"sm9222d","sm9222","membranefiltration"
"318","wq_28346","grabsample","membrane",6,"sm9222d","sm9222","membranefiltration"
"319","wq_28347","grabsample","membrane",56,"sm9222d","sm9222","membranefiltration"
"320","wq_28342","grabsample","membrane",37,"sm9222d","sm9222","membranefiltration"
"321","wq_28343","grabsample","membrane",56,"sm9222d","sm9222","membranefiltration"
"322","wq_28336","grabsample","membrane",43,"sm9222d","sm9222","membranefiltration"
"323","wq_28332","grabsample","membrane",57,"sm9222d","sm9222","membranefiltration"
"324","wq_28333","grabsample","membrane",100,"sm9222d","sm9222","membranefiltration"
"325","wq_28337","grabsample","membrane",73,"sm9222d","sm9222","membranefiltration"
"326","wq_28335","grabsample","membrane",190,"sm9222d","sm9222","membranefiltration"
"327","wq_28334","grabsample","membrane",24,"sm9222d","sm9222","membranefiltration"
"328","wq_28423","grabsample","membrane",150,"sm9222d","sm9222","membranefiltration"
"329","wq_28432","grabsample","membrane",68,"sm9222d","sm9222","membranefiltration"
"330","wq_28425","grabsample","membrane",31,"sm9222d","sm9222","membranefiltration"
"331","wq_28424","grabsample","membrane",1600,"sm9222d","sm9222","membranefiltration"
"332","wq_28428","grabsample","membrane",72,"sm9222d","sm9222","membranefiltration"
"333","wq_28430","grabsample","membrane",200,"sm9222d","sm9222","membranefiltration"
"334","wq_28427","grabsample","membrane",24,"sm9222d","sm9222","membranefiltration"
"335","wq_28429","grabsample","membrane",170,"sm9222d","sm9222","membranefiltration"
"336","wq_28431","grabsample","membrane",270,"sm9222d","sm9222","membranefiltration"
"337","wq_28426","grabsample","membrane",250,"sm9222d","sm9222","membranefiltration"
"338","wq_28373","grabsample","membrane",33,"sm9222d","sm9222","membranefiltration"
"339","wq_28374","grabsample","membrane",180,"sm9222d","sm9222","membranefiltration"
"340","wq_28369","grabsample","membrane",79,"sm9222d","sm9222","membranefiltration"
"341","wq_28372","grabsample","membrane",43,"sm9222d","sm9222","membranefiltration"
"342","wq_28371","grabsample","membrane",57,"sm9222d","sm9222","membranefiltration"
"343","wq_28370","grabsample","membrane",220,"sm9222d","sm9222","membranefiltration"
"344","wq_28384","grabsample","membrane",36,"sm9222d","sm9222","membranefiltration"
"345","wq_28383","grabsample","membrane",78,"sm9222d","sm9222","membranefiltration"
"346","wq_28382","grabsample","membrane",180,"sm9222d","sm9222","membranefiltration"
