"","scri_sample_id","sample_type","sample_filter","ec","ec_methodf","ec_methodm","ec_methodc","fc","fc_methodf","fc_methodm","fc_methodc","tc","tc_methodf","tc_methodm","tc_methodc"
"78","ccu_5466","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,699,"ccu","directplating","directplating"
"79","ccu_5455","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,0,"ccu","directplating","directplating"
"80","ccu_5456","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,660,"ccu","directplating","directplating"
"81","ccu_5457","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,0,"ccu","directplating","directplating"
"82","ccu_5467","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,1998,"ccu","directplating","directplating"
"83","ccu_5453","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,33,"ccu","directplating","directplating"
"84","ccu_5449","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,0,"ccu","directplating","directplating"
"85","ccu_5465","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,333,"ccu","directplating","directplating"
"86","ccu_5469","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,233,"ccu","directplating","directplating"
"87","ccu_5451","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,0,"ccu","directplating","directplating"
"88","ccu_5462","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,300,"ccu","directplating","directplating"
"89","ccu_5454","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,0,"ccu","directplating","directplating"
"90","ccu_5468","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,400,"ccu","directplating","directplating"
"91","ccu_5460","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,660,"ccu","directplating","directplating"
"92","ccu_5450","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,33,"ccu","directplating","directplating"
"93","ccu_5459","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,33,"ccu","directplating","directplating"
"94","ccu_5458","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,66,"ccu","directplating","directplating"
"95","ccu_530","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,266,"ccu","directplating","directplating"
"96","ccu_523","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,1386,"ccu","directplating","directplating"
"97","ccu_612","grabsample","none",67,"ccu","directplating","directplating",NA,NA,NA,NA,233,"ccu","directplating","directplating"
"98","ccu_531","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,2198,"ccu","directplating","directplating"
"99","ccu_532","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,366,"ccu","directplating","directplating"
"100","ccu_521","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,693,"ccu","directplating","directplating"
"101","ccu_522","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,0,"ccu","directplating","directplating"
"102","ccu_524","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,300,"ccu","directplating","directplating"
"103","ccu_518","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,0,"ccu","directplating","directplating"
"104","ccu_514","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,0,"ccu","directplating","directplating"
"105","ccu_525","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,430,"ccu","directplating","directplating"
"106","ccu_526","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,300,"ccu","directplating","directplating"
"107","ccu_527","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,1166,"ccu","directplating","directplating"
"108","ccu_528","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,100,"ccu","directplating","directplating"
"109","ccu_519","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,0,"ccu","directplating","directplating"
"110","ccu_516","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,0,"ccu","directplating","directplating"
"111","ccu_515","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,33,"ccu","directplating","directplating"
"112","ccu_529","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,67,"ccu","directplating","directplating"
"113","ccu_520","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,0,"ccu","directplating","directplating"
"114","ccu_517","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,0,"ccu","directplating","directplating"
"115","ccu_5490","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,166,"ccu","directplating","directplating"
"116","ccu_5471","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,66,"ccu","directplating","directplating"
"117","ccu_5487","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,167,"ccu","directplating","directplating"
"118","ccu_5484","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,133,"ccu","directplating","directplating"
"119","ccu_5475","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,133,"ccu","directplating","directplating"
"120","ccu_5486","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,267,"ccu","directplating","directplating"
"121","ccu_5477","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,466,"ccu","directplating","directplating"
"122","ccu_5472","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,266,"ccu","directplating","directplating"
"123","ccu_5488","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,700,"ccu","directplating","directplating"
"124","ccu_5470","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,0,"ccu","directplating","directplating"
